Name,Weight Class,Lift,Weight (kg),Date,Sex
 To be set,100.0,Raw Open - Bench press single lift,,,F
 To be set,100.0,Raw Open - Deadlift,,,F
 To be set,100.0,Raw Open - Deadlift single lift,,,F
 To be set,100.0,Raw Open - Total,,,F
Bonica Brown,101.0,Raw Open - Squat,276.0,06/14/2021,F
Mahailya Reeves,101.0,Raw Open - Bench press,167.5,10/16/2019,F
Mahailya Reeves,101.0,Raw Open - Bench press single lift,167.5,10/16/2019,F
Sarah Brenner,101.0,Raw Open - Deadlift,260.0,10/16/2019,F
Sarah Brenner,101.0,Raw Open - Deadlift single lift,260.0,10/16/2019,F
Bonica Brown,101.0,Raw Open - Total,671.5,06/06/2018,F
